user_id,label,score,命中(超阈值),top3可疑位置(事件序号)
0xfdbb09de89aff528c229020c18c5c368a14d79c7,0,0.5527,0,24 20 15
0xbccc0a54d304b75b8631f1ab10e56310891ad550,0,0.1135,0,10 2 0
0x4b4325b3774974abb96bd19f2f264ac6005b6955,0,-0.1054,0,47 43 25
0xabd252cfbae138043e4fb5e667b489710964d572,0,-0.2935,0,38 40 15
0x14a6af292a37566833cdc5849b0ae11020fea65b,0,-0.2104,0,11 12 0
0xd515cfbe2c848bc9daa5460dae52425bff54e4c0,0,-0.7199,0,25 24 9
0x23c5f33eedd5deb772dc14c1283b436f923326a9,0,-0.6945,0,28 11 26
0x0cec3c8160fe8b64b7c28daae04041935396c879,0,0.5636,0,6 11 12
0xf55fceff09d7aa09a265249ba3bc4f13fec60f4c,0,0.8340,0,3 8 1
0xf94a96f356b7a002e20fc3991771adea234d4155,0,0.7235,0,17 8 3
0x5ba66da25e3365eec1314c95eb78a047692a5bd1,0,-0.7571,0,19 20 18
0xd688b4376fa65adbe5963103060d096f67ab6048,0,-0.6356,0,3 5 10
0x2a6f6e5bf98712346feea07de66369c906dcb880,0,-0.7681,0,6 8 2
0x1c369ff766155049bbddd5e0e34188579e9eb555,0,-0.4415,0,2 1 0
0x35b68a03955ff0e4b66c138a73f99dcc2fe26d9c,0,-0.2767,0,12 19 17
0x0a1a513275009c24901746fd395e2c41c671a1a7,0,0.7153,0,4 16 0
0xcf8edaba6fb4cb9c44c2264f32a58a97d046f2ae,0,0.8558,0,3 9 0
0xa5f6fef8c3645c510cb5325f23b0798a7d0f0665,0,0.1296,0,2 1 3
0x461152985027ad0fa35f21b550546561e5f9714e,0,-0.7217,0,8 3 1
0x3248f710df2ab558070fd90aeefa8a96c5a63d32,0,0.7183,0,6 5 8
0xedaeaf277ff13dad39e152cfe25c0ee16723bd8c,0,-0.8132,0,2 11 12
0xafb6e3eee468cda54b8a54a983b9a6261ff40398,0,0.4770,0,9 7 2
0x8894aa1929d8820053e9d4c8ed69f2879c29251d,0,0.4384,0,14 18 45
0xcdb499f2373d433442872b32fa923490150cc5de,0,-0.7104,0,4 1 2
0xe58cf79565f818359ddaead77a491b78c4c35bb3,0,0.8695,0,5 2 6
0x287722a96e2f7f89e71b1bacaea8bf5f3c1795ad,0,0.3197,0,25 5 12
0x27196a904404fa2a2ac494ae9adada86d2ef0246,0,-0.6409,0,7 3 6
0x7bc50d3ceac5d346982ae4579dc4e7936e5a69ba,0,-0.7572,0,15 22 3
0xe8c2476b2bda6ea88a17bd7626572bc30ae34de7,0,0.3153,0,16 10 21
0x999967e2ec8a74b7c8e9db19e039d920b31d39d0,0,-0.7829,0,119 181 26
0xc83fcb52bb592e0f8c20ff1df20e669c1396d95f,0,-0.7753,0,1 8 5
